Mod Name;Author;Description;Versions;Is Latest;Latest Commit;Latest Download
Hypno Blindfold;Eden;Adds a combined Hypnovisor/Blindfold restraint. Roughly equivalent to the MK1 hypnovisor. Can be bought in the same way as the MK1, can be forced on in stocks/by guards;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HypnoBlindfold.zip
HeelsSuit;MOONHALO;Adds a new suit with high heeled boots to the outfit vendomat. Features three different states of damage.  Adapted from a poorly-cropped image of a clothing design by @MISS-TRINITY. I do not claim ownership of the original design.  Please review the attached readme file before contacting the author with questions.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/HeelsSuit.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/HeelsSuit.zip
Winters Canine Barbed Penis;Avery Winters;A canine variant penis with barbs ideal for a canine/feline hybrid.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/WintersCanineBarbedPenis.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/WintersCanineBarbedPenisV1.1.zip
Animal Pussies;Raznaak;This adds various animal pussies to the game, in this version there are: -Canine -Equine -Feline -Cloaca (including anus) -Sergal (if you have the Sergal species active)  [b]IMPORTANT[/b]!: This replaces both Canine Pussy and Equine Pussy mods, remove them from your list before playing.  Each pussy has different descriptions, elasticity, resistance, capacity and comfortable insertion values. There are no visible bodyparts, but this is for people who want some variety. The cloaca is difficult do with how the game works, a bodypart can only be one type of orifice, but pretend that they're combined.  By default, only the base species will spawn with their respective pussies, and will always spawn with one instead of the regular vagina. At character creation, only these species will have the respective pussy available. If you want more species to spawn with them, you must use FoxLib, but FoxLib isn't  required.  Hypertus compatibility: If you have Hypertus active, all new hyper characters will spawn with a hyper pussy.   Species mod compatibility: -If you have the Sergal species (not the Southern one), the Sergal pussy will be added to the list. It technically has a prehensile clitoris, even if nothing can be done with it (yet). -Laquine will spawn with the Equine pussy. -Nano Android will spawn with the pussy corresponding to their species if available. -If you have the Human Replacer Bits mod, Furless Felines will spawn with a feline pussy.  FoxLib ModsOptions compabibility: If you have FoxLib, you can set a few options: -You can choose to use any pussy with any species at character creation. -You can choose to have relatively equal chances for the normal vagina to spawn instead of always the animal pussies. -You can customize every species to have NPCs have the pussy you want (in the "advanced" options), it's only a checkbox instead of percentages, a species can have more than one pussy available.   [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/AnimalPussies.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/AnimalPussies_v3.0.zip
Crotchless Chastity Belt;Helix;Adds a chastity belt that will allow access to the wearer's genitals, but not their anus. It works, but lacks an icon and does not display on the doll.  Cannot be worn alongside a chastity cage or it will likely break your game, because this is the first time I've used Godot and had to piggyback off that item to make it work. Hopefully I'll be able to figure out how to fix this in the future. Anyone and everyone has my permission to edit the mod to fix it themselves if they want.;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/AnChastityBelt.zip
EZ-Meet;Sightglass;Adds two new buttons to the "Me" menu to quickly start an encounter with dynamic NPCs. "Find Random" finds an existing NPC, while "Meet New" creates a new one. You then get the option to interact with them or leave them alone. When creating a new NPC, you also get the option to avoid them (removing them from the game). Changed in v0.1.1: Fixed description when pulling up an NPC you have offspring with.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/EZMeet.png]Click for Preview[/url];2;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/EZMeet_v0.1.1.zip
Casino (Demo);N;This is a second update on the casino mod. You can access the casino on your cell. (Which to be changed later) I improved the slot machine so it will (and should) be more balanced. I also add images for decoration. And a new game: Blackjack.   It might have some bugs. Please tell me if you found one.   Thank you for trying my mod.  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/CasinoDemo.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/CasinoDemo.zip
Breeder Lube;Dequire;An upgraded lubricant that adds a watered down breeder pill affect. Simple, stupid, affective. Fixed capilization on Module.gd, actually appears in-game now;1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/BreederLube.zip
Body Modification;AR2000;add a new scene at the medical bay (talk to the nurse) to change your body in exchange for some credits. Changelog : fix a crash that revealed itself in 0.1.9;5;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/BodyModif.zip
Kewlhair;Amewsing;Adds a hair for the player to pick (doesn't gen on NPCs).  [url=https://raw.githubusercontent.com/Alexofp/BDCCMods/main/previews/Kewlhair.png]Click for Preview[/url];1;True;0dd6a1b8b2733f44339155cb00c4ca967fa53584;https://raw.githubusercontent.com/Alexofp/BDCCMods/0dd6a1b8b2733f44339155cb00c4ca967fa53584/mods/Kewlhair.zip
